"	FlowDate		SponsorFirm	SponsorFirmId	SmaStrategy		SmaProductType	SmaProductTypeCode		MorningstarStrategyId		Assets",,,
"P101	Q1-2016                          	""Nuveen(CDP",MSA,"MSP)""	H.D. Vest Investment Services	13686	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	AUM	1.1589",
"P101	Q1-2017                          	""Nuveen(CDP",MSA,"MSP)""	H.D. Vest Investment Services	13686	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	AUM	1.2618",
"P101	Q1-2018                          	""Nuveen(CDP",MSA,"MSP)""	H.D. Vest Investment Services	13686	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	AUM	1.3882",
"P101	Q2-2016                          	""Nuveen(CDP",MSA,"MSP)""	H.D. Vest Investment Services	13686	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	AUM	1.1497",
"P101	Q2-2016                          	""Nuveen(CDP",MSA,"MSP)""	H.D. Vest Investment Services	13686	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	R	-0.0069",
"P101	Q2-2017                          	""Nuveen(CDP",MSA,"MSP)""	H.D. Vest Investment Services	13686	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	AUM	1.2993",
"P101	Q3-2017                          	""Nuveen(CDP",MSA,"MSP)""	H.D. Vest Investment Services	13686	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	AUM	1.3563",
"P101	Q4-2016                          	""Nuveen(CDP",MSA,"MSP)""	H.D. Vest Investment Services	13686	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	R	-0.032",
"P101	Q4-2017                          	""Nuveen(CDP",MSA,"MSP)""	H.D. Vest Investment Services	13686	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	AUM	1.4111",
"P101	Q3-2016                          	""Nuveen(CDP",MSA,"MSP)""	H.D. Vest Investment Services	13686	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	AUM	1.1931",
"P101	Q4-2016                          	""Nuveen(CDP",MSA,"MSP)""	H.D. Vest Investment Services	13686	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	AUM	1.2103",
"P101	Q4-2017                          	""Nuveen(CDP",MSA,"MSP)""	H.D. Vest Investment Services	13686	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	R	-0.026",
"SMAAAQ	Q1-2016                          	Nuveen Asset Management	Nuveen Investments	469	SMA NAM AA/Quant	NAMQUANT	Dual Contract	Dual		TBD	S	0.4179",,,
"SMAAAQ	Q1-2016                          	Nuveen Asset Management	Nuveen Investments	469	SMA NAM AA/Quant	NAMQUANT	Dual Contract	Dual		TBD	R	-122.9865",,,
"SMAAAQ	Q1-2016                          	Nuveen Asset Management	Nuveen Investments	469	SMA NAM AA/Quant	NAMQUANT	Dual Contract	Dual		TBD	AUM	23.4409",,,
"SMAAAQ	Q2-2016                          	Nuveen Asset Management	Nuveen Investments	469	SMA NAM AA/Quant	NAMQUANT	Dual Contract	Dual		TBD	S	0",,,
"POS7	Q1-2018                          	Nuveen Asset Management	Wells Fargo Advisors	19616	SMA NAM Core FI Muni	NAMCOREMUNI	Dual Contract	Dual		FLMUNI	AUM	1.2613",,,
"POS7	Q1-2018                          	Nuveen Asset Management	Wells Fargo Advisors	19616	SMA NAM Core FI Muni	NAMCOREMUNI	Dual Contract	Dual		FLMUNI	S	1.2797",,,
"POS7	Q2-2018                          	Nuveen Asset Management	Wells Fargo Advisors	19616	SMA NAM Core FI Muni	NAMCOREMUNI	Dual Contract	Dual		FLMUNI	R	-1.55",,,
"POS7	Q2-2018                          	Nuveen Asset Management	Wells Fargo Advisors	19616	SMA NAM Core FI Muni	NAMCOREMUNI	Dual Contract	Dual		FLMUNI	S	1.55",,,
"CFICL7	Q1-2018                          	Nuveen Asset Management	""HighTower Advisors"," LLC""	116681	SMA NAM Cstm FI Short Corp Lad	116681	Dual Contract	Dual		LADSH	AUM	0.7032",,
"CFICL7	Q1-2018                          	Nuveen Asset Management	""HighTower Advisors"," LLC""	116681	SMA NAM Cstm FI Short Corp Lad	116681	Dual Contract	Dual		LADSH	S	0.7055",,
"CFICL7	Q2-2018                          	Nuveen Asset Management	""HighTower Advisors"," LLC""	116681	SMA NAM Cstm FI Short Corp Lad	116681	Dual Contract	Dual		LADSH	S	0.935",,
